Time	S1	S2	S3	
0.0004125	0.015727	0.109958	0.468798	
0.0008375	0.0168822	0.11034	0.466773	
0.0012625	0.0166432	0.109274	0.468481	
0.001675	0.017016	0.108384	0.47011	
0.0021125	0.0157687	0.106887	0.469986	
0.0025375	0.0149663	0.106025	0.468513	
0.002975	0.0141986	0.10643	0.467871	
0.0034125	0.0146096	0.10691	0.46913	
0.00385	0.0151106	0.108147	0.469974	
0.0042875	0.0143731	0.108429	0.470048	
0.0047375	0.0137437	0.108743	0.470117	
0.0051875	0.0138048	0.108501	0.470932	
0.0056375	0.0143485	0.108859	0.471674	
0.0060875	0.0147318	0.109574	0.472348	
0.00655	0.0143707	0.109416	0.472833	
0.0070125	0.0138699	0.109406	0.473198	
0.007475	0.0139298	0.10987	0.473314	
0.00795	0.0141249	0.110245	0.473076	
0.0084125	0.0138253	0.110214	0.472535	
0.0088875	0.0138075	0.110635	0.47266	
0.0093625	0.0141812	0.110651	0.472781	
0.00985	0.013984	0.110664	0.472963	
0.0103375	0.013579	0.110652	0.472851	
0.010825	0.0135659	0.110865	0.473181	
0.0113125	0.0136988	0.111099	0.473842	
0.0118	0.013618	0.111457	0.47418	
0.0123	0.0133973	0.111366	0.474019	
0.0128	0.0134101	0.111377	0.474193	
0.0133125	0.0134897	0.111539	0.474394	
0.0138125	0.0133586	0.111675	0.474206	
0.014325	0.0134142	0.111774	0.474063	
0.0148375	0.0135696	0.112097	0.474437	
0.0153625	0.0135673	0.112077	0.474275	
0.0158875	0.0133309	0.111972	0.474001	
0.0164125	0.0131686	0.112242	0.474051	
0.0169375	0.0135152	0.112709	0.474548	
0.017475	0.0134955	0.112767	0.474683	
0.0180125	0.0133633	0.11257	0.474452	
0.01855	0.0134147	0.112806	0.474346	
0.0191	0.0133555	0.113134	0.474248	
0.0196375	0.0131748	0.113249	0.473828	
0.0202	0.0133751	0.11331	0.473789	
0.02075	0.0136768	0.113512	0.473972	
0.0213125	0.0136492	0.113424	0.473759	
0.021875	0.013511	0.113497	0.47362	
0.0224375	0.0136955	0.113933	0.473816	
0.0230125	0.0139709	0.114224	0.473899	
0.0235875	0.0137158	0.11398	0.473505	
0.024175	0.0134703	0.113999	0.473117	
0.02475	0.0137414	0.114169	0.472934	
0.0253375	0.0136091	0.114191	0.472571	
0.0259375	0.0136001	0.114018	0.472279	
0.026525	0.0137122	0.114125	0.472197	
0.027125	0.0136943	0.114181	0.471642	
0.027725	0.0133374	0.114137	0.471311	
0.0283375	0.0133287	0.114064	0.471094	
0.02895	0.0134905	0.114291	0.470817	
0.0295625	0.013479	0.114277	0.470454	
0.0301875	0.0133639	0.11397	0.470142	
0.0308125	0.0134376	0.114043	0.469813	
0.0314375	0.0135095	0.114345	0.469522	
0.032075	0.0135804	0.114324	0.468819	
