Time	A470	A350	A340	A330	A320	A310	A300	
0.0004125	0.0193981	0.15677	0.247184	0.394094	0.63291	1.01407	1.74429
0.0008375	0.0196252	0.158304	0.247307	0.393569	0.635835	1.02096	1.73943
0.0012625	0.0192642	0.158302	0.245702	0.391194	0.636751	1.02374	1.74636
0.001675	0.0183389	0.156341	0.2447	0.391117	0.635712	1.02645	1.74878
0.0021125	0.0171079	0.155095	0.242918	0.391668	0.636246	1.02649	1.74697
0.0025375	0.0164297	0.154599	0.24309	0.39153	0.635342	1.02753	1.74593
0.002975	0.0163893	0.155139	0.243695	0.391143	0.634491	1.02734	1.74673
0.0034125	0.0168742	0.155915	0.244735	0.391614	0.635208	1.02645	1.74721
0.00385	0.0174107	0.156645	0.245546	0.392151	0.636426	1.02666	1.74832
0.0042875	0.0170979	0.156608	0.245626	0.392177	0.636624	1.02673	1.74747
0.0047375	0.0164555	0.15635	0.245412	0.391642	0.636557	1.0263	1.74654
0.0051875	0.0166351	0.156675	0.245431	0.391688	0.636672	1.02649	1.74718
0.0056375	0.0171577	0.157259	0.246127	0.39254	0.637097	1.02714	1.74733
0.0060875	0.0174691	0.157717	0.246745	0.393424	0.637932	1.02793	1.74829
0.00655	0.0169927	0.157457	0.246382	0.39329	0.637845	1.02817	1.74723
0.0070125	0.0167544	0.157344	0.246234	0.393162	0.638147	1.02772	1.74753
0.007475	0.0169489	0.157852	0.246515	0.393628	0.638698	1.02838	1.74873
0.00795	0.0168939	0.158195	0.246724	0.39408	0.63883	1.029	1.74845
0.0084125	0.0170115	0.158265	0.247001	0.394167	0.638995	1.02899	1.74871
0.0088875	0.0171765	0.15843	0.247431	0.394343	0.6392	1.02958	1.74906
0.0093625	0.0170028	0.158491	0.247642	0.394601	0.639331	1.02971	1.74909
0.00985	0.0166228	0.158602	0.247532	0.394598	0.639618	1.02966	1.74818
0.0103375	0.0167494	0.158639	0.247586	0.394557	0.639876	1.02966	1.74863
0.010825	0.0169954	0.158818	0.248151	0.394732	0.639806	1.02997	1.74906
0.0113125	0.0168889	0.158773	0.248093	0.395233	0.639803	1.02973	1.7488
0.0118	0.0167209	0.158769	0.248122	0.39533	0.640126	1.02976	1.74916
0.0123	0.0167829	0.159058	0.248438	0.395379	0.640541	1.02968	1.74908
0.0128	0.0168816	0.159395	0.248704	0.395465	0.640693	1.02987	1.7478
0.0133125	0.0168863	0.159672	0.248838	0.39593	0.640905	1.02982	1.74888
0.0138125	0.0167115	0.15955	0.248707	0.395935	0.640576	1.02973	1.74785
0.014325	0.0166103	0.159361	0.248725	0.395588	0.640293	1.02961	1.74874
0.0148375	0.0165665	0.159547	0.248842	0.395843	0.640502	1.02965	1.74831
0.0153625	0.0164912	0.159815	0.249084	0.396385	0.640757	1.02964	1.74862
0.0158875	0.0166545	0.159677	0.249046	0.39619	0.640579	1.02924	1.74851
0.0164125	0.0166895	0.159894	0.248949	0.395988	0.640135	1.02897	1.74733
0.0169375	0.0167878	0.160195	0.249059	0.396232	0.640359	1.02921	1.74658
0.017475	0.016554	0.16023	0.24908	0.396249	0.640415	1.02899	1.74636
0.0180125	0.016436	0.160109	0.249135	0.396069	0.64028	1.02873	1.74595
0.01855	0.0166658	0.160239	0.24929	0.396101	0.640295	1.0284	1.74529
0.0191	0.0167472	0.16043	0.249155	0.396154	0.640194	1.02854	1.74642
0.0196375	0.0164179	0.160363	0.249234	0.39591	0.639819	1.02792	1.74533
0.0202	0.0162078	0.160381	0.249371	0.395676	0.639346	1.02751	1.74496
0.02075	0.016541	0.160849	0.249693	0.39578	0.639245	1.0272	1.74453
0.0213125	0.0167078	0.160886	0.24965	0.395925	0.638991	1.02679	1.74453
0.021875	0.0165333	0.160556	0.249436	0.395685	0.638645	1.02625	1.74316
0.0224375	0.0165142	0.160726	0.249617	0.395601	0.638647	1.02603	1.74367
0.0230125	0.0164369	0.160959	0.249859	0.395908	0.638693	1.02584	1.74375
0.0235875	0.0163725	0.160784	0.249775	0.395541	0.638299	1.02523	1.74143
0.024175	0.0164109	0.160781	0.24962	0.395103	0.638108	1.02479	1.74119
0.02475	0.0166187	0.161047	0.249777	0.395271	0.637834	1.02453	1.7407
0.0253375	0.0164331	0.161144	0.249694	0.395376	0.637635	1.02392	1.74045
0.0259375	0.0164451	0.16103	0.249724	0.394993	0.637288	1.02338	1.73878
0.026525	0.0163409	0.161038	0.249685	0.39475	0.637057	1.0228	1.73818
0.027125	0.0162101	0.161257	0.249723	0.394714	0.636908	1.02245	1.73761
0.027725	0.0160936	0.16119	0.249697	0.394546	0.636524	1.02156	1.73689
0.0283375	0.0160927	0.161248	0.249614	0.394323	0.63595	1.021	1.73603
0.02895	0.016253	0.161452	0.249636	0.394481	0.635854	1.02053	1.7354
0.0295625	0.0161301	0.161432	0.249498	0.394216	0.635634	1.01987	1.73449
0.0301875	0.0159355	0.161343	0.249605	0.393755	0.635014	1.01908	1.73312
0.0308125	0.0160647	0.16151	0.249698	0.39388	0.634745	1.01863	1.73337
0.0314375	0.0161905	0.161627	0.249574	0.393758	0.634456	1.01788	1.73209
0.032075	0.016055	0.161552	0.249468	0.393331	0.633714	1.0172	1.73065
0.0327125	0.0160681	0.161594	0.249437	0.393264	0.633399	1.01622	1.72974
0.0333625	0.0160277	0.161574	0.249392	0.392888	0.633014	1.0156	1.72921
0.034	0.0159028	0.161365	0.249177	0.392431	0.632269	1.0145	1.72786
0.0346625	0.0160816	0.161634	0.24931	0.392502	0.631876	1.01394	1.72692
0.0353125	0.0159274	0.161647	0.249117	0.392398	0.631375	1.01317	1.72603
0.035975	0.0158366	0.161475	0.248827	0.39167	0.630631	1.01215	1.72459
0.0366375	0.0160841	0.161598	0.24903	0.391631	0.630555	1.01129	1.72379
0.0373125	0.0159838	0.161841	0.248958	0.391621	0.630107	1.0102	1.72226
0.0379875	0.0158667	0.16181	0.248898	0.391076	0.629176	1.00904	1.7214
0.0386625	0.015964	0.161874	0.248928	0.391013	0.628855	1.00853	1.71977
0.03935	0.0159599	0.161879	0.248968	0.390856	0.628282	1.0075	1.71877
0.0400375	0.0160375	0.161951	0.248715	0.390454	0.627755	1.00644	1.71811
0.040725	0.016085	0.161948	0.2487	0.390189	0.627425	1.00561	1.71694
0.041425	0.0159206	0.161789	0.248694	0.389728	0.626865	1.00424	1.71528
0.042125	0.0159601	0.161791	0.248577	0.389562	0.62608	1.00332	1.71421
0.0428375	0.0159481	0.161883	0.248537	0.389443	0.625575	1.00224	1.71248
0.04355	0.0159918	0.161894	0.248412	0.389118	0.62508	1.00107	1.71079
0.0442625	0.0159231	0.161911	0.248468	0.388724	0.624267	1.00013	1.71007
0.0449875	0.0160486	0.162156	0.248465	0.388537	0.623792	0.998841	1.7083
0.0457125	0.015954	0.161981	0.248398	0.388262	0.622943	0.997622	1.70693
0.04645	0.0158556	0.16191	0.248234	0.388232	0.622214	0.996728	1.70649
0.0471875	0.0159871	0.162006	0.248273	0.387969	0.621719	0.995638	1.70495
0.0479375	0.0160043	0.161846	0.247912	0.387445	0.621021	0.994311	1.703
